context_id	word	gold_sense_id	predict_sense_id	positions	context
138	замок	2		126-131, 233-238	участвовал в национальном смотре достижений ( national festival for heritage and culture ) . в году он выставил самый тяжелый замок в саудовской аравии весом  кг и ключами по  кг . из российских замков - рекордсменов назовем крупный замок , который заказал и хранит в своем ресторане династия бизнесмен из российского города павлово ( на оке ) . размеры замка высота м  см , ширина м  см , толщина  см . вес
139	лук	1		255-258, 381-384	они были основными слушателями баллад , а кризис феодальной системы стал для них периодом , когда они потеряли былую власть , доставшуюся им от франкоговорящей крупной знати ( английский язык стал официальным в стране только в году ) . английский длинный лук сегодня является частью исторического наследия британских островов . поэтому многим обществам разрешено использовать этот лук до сих пор например , королевскому объединению лучников ( ) , основанному в году , или британскому обществу длинных луков ( )
140	лук	1		9-12	якутский лук якутский лук принадлежит к северному типу лука , распространенному среди коряков , чукчей , ительменов , юкагиров и ненцев . особенности и устройство . длина стрелы составляла - см , небольшая длина стрелы , видимо , объясняется близким расположением тетивы к древку лука
141	лук	1		19-22, 134-137	из всех трех типов луков — классики , олимпика и компаунда . различий по полу обычно нет . в команде человека , каждый со своим типом лука . это зимний лыжный вид спорта , аналогичный биатлону , только с луком . для этого используется олимпийский лук без стабилизатора , который стрелок переносит в мешке за спиной . стрелы обычно получают на рубеже . правила также как в обычном биатлоне бывают разные , отличаются дистанции гонок и поведение по промахе мимо мишени . стрельба проводится не по горизонту , а в вверх .
244	лук	2		8-11	гусиный лук желтый стебель плотный , голый , высотой —  см . прикорневой лист плоский , одиночный , превышает соцветие , широколинейный , шириной —  мм , коротко заостренный , с башлыковидной верхушкой верхний — линейный или ланцетный , снизу килеватые . соцветие зонтиковидное
245	лук	2		20-23, 201-204	кислоты в этом виде лука в раза превышает таковое в зелени пера репчатого лука . в пищу используют листья или все растение . выращивают на одном месте — года и более ( в том числе и в теплицах ) . вид лук - батун входит в род семейства порядка .
246	лук	2		240-243, 276-279	на шею коровам , лошадям и другим домашним животным , чтобы не заразились . профессор н . . умиков приводит свидетельства современников о том , что во время большой эпидемии брюшного тифа в  году русские , потреблявшие в большом количестве лук , не заболевали тифом и чумой . лук является хорошим витаминным средством , особенно рекомендуемым в зимне - весенний период , но используемым круглый год . значительное количество минеральных солей в луке при его использовании в пищу способствует нормализации водно - солевого обмена в организме , а
247	лук	2		8-11, 111-114	гадючий лук латинское название рода дано по запаху цветков , напоминающему запах мускуса . относительно мелкие луковичные растения ( до —  см в высоту ) , несущие пучок из двух—семи мясистых прикорневых листьев листья достигают в длину —  см .
248	лук	2		279-282, 290-293	способствует нормализации водно - солевого обмена в организме , а своеобразный запах и острый вкус возбуждают аппетит . ценный медонос , дает пчелам много нектара даже при очень жаркой погоде . мед светло - желтый , почти непрозрачный , при созревании теряет характерный привкус лука . вид лук репчатый входит в род семейства порядка . в рамках вида ранее выделяли несколько разновидностей , например
249	суда	1		235-239, 323-327	перехода поместья к новому владельцу в ) год переписи ( ) . фактически , однако , этот принцип полностью не был выдержан , и сведения о хозяйственном положении поместий на дату их передачи новым владельцам появляются в книге страшного суда лишь эпизодически . на основании собранных записей была составлена книга страшного суда , которая состоит из двух частей так называемая малая книга , описывающая графства норфолк , саффолк и эссекс , и большая книга , описывающая всю остальную англию ,
250	суда	1		267-271	"опасный квартал города . и… оказалась не в том месте и не в то время , став свидетелем жестокого убийства . а убийцы , как известно , предпочитают не оставлять свидетелей . "" этот американский фильм получил в нашем видеопрокате весьма громкое название ночь страшного суда . наверно , режиссер стивен хопкинс , известный по картинам кошмар на улице вязов и хищник , был бы просто горд , если бы узнал о таком возвеличивании довольно заурядной истории ночных похождений группы добропорядочных граждан . они"
252	суда	1		307-311	повторяют византийские формы , на xvi—xvii века приходится пик развития этого сюжета в живописи , а концу xvii века , по мнению покровского , эсхатологические изображения стали писать с меньшим мастерством — особенно в юго - западной россии ( под воздействием западноевропейских влияний ) . икона страшного суда является чрезвычайно богатой по количеству действующих лиц и включает изображения , которые можно сгруппировать по трем темам
253	суда	1		28-32, 66-70	военная коллегия верховного суда ссср военная коллегия верховного суда ссср ( вквс )  — союзный орган верховного суда ссср , рассматривавший дела исключительной важности в отношении высшего начальствующего состава армии и флота ( командир корпуса и выше ) , а также обвиняемых в измене родине и контрреволюционной деятельности . также контролировала работу военных трибуналов
254	суда	1		28-32, 183-187	различными странами . члены суда назначаются на лет . их назначения на должность могут быть возобновлены . критические замечания , высказываемые в адрес постоянной палаты третейского суда , состоят , в частности , в следующем из сказанного делается вывод , что постоянная палата третейского суда — не настоящий суд в обычном значении этого слова .
255	суда	1		41-45, 91-95	римский статут международного уголовного суда ри́мский стату́т междунаро́дного уголо́вного суда́ ( ) — международный договор , учредивший международный уголовный суд . принят на дипломатической конференции в риме июля года и вступил в силу с июля
303	суда	1		332-336	г . ) указан номер постановления съезда народных депутатов рсфср или совета федерации федерального собрания российской федерации , которым произведено избрание или назначение . после истечения срока полномочий судья обычно исполнял обязанности в течение нескольких месяцев до назначения нового судьи . председатели конституционного суда российской федерации , избранные конституционным судом в . д . зорькин ( — гг . , с г . ) , н . в . витрук
304	суда	1		289-293, 384-388	большую вероятность отмены заочного решения судом , нежелание проигравшей стороны оспаривать это решение приводит к тому , что по данным журнала российская юстиция , приведенных в учебнике по гражданский процессу м . к . треушникова , отменяются лишь , % заочных решений . заочное решение суда может быть отменено . юристы рекомендовали взять копию документа ( копию заочного решения суда можно было получить , например , у судебных приставов - исполнителей либо , что делают чаще , в суде , принявшим такое решение ) и затем , в соответствии с
364	суда	2		166-170	глубокий снег были трудными . многочисленные реки , озера и прочие водные пути скандинавии давали викингам простой и удобный способ передвижения . самыми знаменитыми судами викингов , несомненно , были их эффективные боевые корабли , известные как драконьи корабли . это были длинные , изящные суда , быстроходные , надежные и при этом достаточно легкие для гребли или переноса их на руках в случае необходимости . такие корабли были рассчитаны для захода в мелководные реки и причала к пологим берегам , что позволяло викингам заставать своих врагов врасплох . обычно драккары изготовлялись преимущественно
365	суда	2		0-4, 44-48	суда атомного технологического обслуживания суда атомного технологического обслуживания ( ато )  — класс специализированных кораблей и плавсредств для обеспечения радиационной и ядерной безопасности в процессе эксплуатации и утилизации надводных и подводных кораблей с ядерными энергетическими установками ( яэу ) . эксплуатация кораблей с яэу включает в себя необходимость в достаточной
380	суда	2		15-19, 43-47	железобетонные суда либерти железобетонные суда типа liberty  — разновидность транспортных судов типа либерти , но с железобетонными корпусами . строились в сша в течение обеих мировых войн из - за дефицита стали . в течение первой мировой войны , президент томас вудро вильсон одобрил строительство железобетонных
381	суда	2		15-19, 43-47	железобетонные суда либерти железобетонные суда типа liberty  — разновидность транспортных судов типа либерти , но с железобетонными корпусами . строились в сша в течение обеих мировых войн из - за дефицита стали . в течение первой мировой войны , президент томас вудро вильсон одобрил строительство
382	суда	2		0-4	суда викингов флот викингов состоял преимущественно из боевых кораблей , которые назывались драккарами , и из торговых судов , кнорров . корабли могли служить как временное жилище — их можно было волоком вытащить на берег ( они имели мощный киль ) и , укрепив , оборудовать как
383	суда	2		36-40, 183-187	океанографические исследовательские суда проекта океанографические исследовательские суда проекта строились в польше , г . щецин , на судоверфи сточня щецинская им . адольфа варского суда , относящиеся к балтийскому флоту , базировались в кронштадте и входили в состав - й атлантической океанографической экспедиции вмф ( в/ч )
384	бор	1		0-3, 16-19	бор ( элемент ) бор — элемент тринадцатой группы ( по устаревшей классификации — главной подгруппы третьей группы ) , второго периода периодической системы химических элементов с атомным номером . обозначается символом b ( ) . в свободном состоянии
385	бор	1		0-3, 60-63	бор - углерод - кремний семейство сплавов на основе системы бор - углерод - кремний — сверхтвердый материал с микротвердостью , превышающей гпа . чрезвычайно устойчив к химическим воздействиям и высокой температуре . считается одним из лучших абразивных материалов по соотношению цена - производительность .
94	бор	1		43-46	и в стабильны и входят в состав природного бора с концентрациями и ат . % соответственно . все остальные нестабильны , из них самым долгоживущим является в с периодом полураспада , с . при нагревании бор реагирует с другими галогенами с образованием тригалогенидов , с азотом образует нитрид бора bn , с фосфором — фосфид bp , с углеродом — карбиды различного состава ( b c , b c , b c ) . при нагревании в атмосфере кислорода или
395	бор	1		62-65, 186-189	номером . обозначается символом b ( ) . в свободном состоянии бор — бесцветное , серое или красное кристаллическое либо темное аморфное вещество . известно более аллотропных модификаций бора , образование и взаимные переходы которых определяются температурой , при которой бор был получен . впервые получен в году французскими физиками ж . гей - люссаком и л . тенаром нагреванием борного ангидрида b o с металлическим калием . через несколько месяцев бор получил х . дэви электролизом расплавленного b
396	бор	1		68-71, 176-179	и взаимные переходы которых определяются температурой , при которой бор был получен . впервые получен в году французскими физиками ж . гей - люссаком и л . тенаром нагреванием борного ангидрида b o с металлическим калием . через несколько месяцев бор получил х . дэви электролизом расплавленного b o . среднее содержание бора в земной коре г/т . несмотря на это , известно около собственных минералов бора в чужих минералах он почти не встречается . это
401	бор	2		9-12, 33-36	"сосновый бор ( город ) сосно́вый бор — город ( с года ) в ленинградской области россии , образует муниципальное образование сосновоборский городской округ . ранее на месте города располагалась старинная деревня устья . впервые деревня """
416	бор	2		12-15, 29-32	бузулукский бор бузулу́кский бор — островной массив соснового ( преимущественно ) леса на границе самарской и оренбургской областей россии , среди степей заволжья и предуралья . расположен в  км к северу от города бузулук в обширной приречной котловине , имеющей глубину —
422	бор	2		323-326	к металлургическому району города . древостой главным образом одноярусный , разреженный . преобладает сосна обыкновенная с примесью березы повислой , в понижениях растут осина и береза пушистая . также в последние годы высажены дуб обыкновенный и ясенелистный клен . на территории лесопарка расположен пансионат каштакский бор .
423	бор	2		192-195	, которые понравятся и детям , и взрослым . в году после продолжительного перерыва открывается кафе на кругу возле танка , как раз рядом с конечной остановкой троллейбусов №  , , . серебряный бор также известен расположенным в нем уже много лет нудистским пляжем .
436	бор	2		101-104, 149-152	в окрестностях барнаула , составляет —  км . но на юго - западе , около села новоегорьевское , лента бора срастается с соседней лентой касмалинского бора . образовавшийся таким образом сросткинский сосновый бор имеет ширину около —  км . кучук - кулундинский бор растянулся на  км от села верх - кучук до райцентра завьялово . прослауха - кулундинский бор располагается между селами ключи и баево . бурлинский бор , самый северный , начинается у новосибирского водохранилища в  км севернее города камня - на - оби
437	бор	2		17-20, 138-141	также в сосновом бору открыта секция биатлона , среди воспитанников которой — призеры чемпионатов мира , призеры первенств россии , член сборной команды . на территории города действуют следующие средства массовой информации на год систему образования соснового бора представляют следующие учреждения сосновый бор являлся одним из городов россии , официально закрытых для посещения без специального пропуска иностранными гражданами . причина — наличие в нем нити им . а .  п .  александрова , воинских частей и существование погранзоны вокруг города . с января
438	бор	2		183-186	экспресс банк , мособлбанк , внешпромбанк , балтийский банк , таврический , бинбанк кредитные карты , пойдем ! , рускобанк , констанс - банк . первый канал интернет в городе сосновый бор был запущен июня года . c года начато строительство первой общегородской сети . в настоящее время в городе действует три интернет - провайдера фиксированного доступа с года
439	бор	2		11-14, 26-29	каштакский бор каштакский бор — бор , находящийся в челябинской области . имеет статус лесопарка с года . площадь га . расположен к северу от челябинска , прилегает к металлургическому району города . древостой главным образом одноярусный , разреженный .
